169	IKI30720	01.00.12.01-2009	IKI30720	01.00.12.01-2006
170	IKI30730	01.00.12.01-2009	IKI30730	01.00.12.01-2006
171	IKI30740	01.00.12.01-2009	CSCM603125	01.00.12.01-2016
172	IKI30740	01.00.12.01-2009	CSCM603125	09.00.12.01-2016
173	IKI30740	01.00.12.01-2009	CSF3600202	01.00.12.01-2012
174	IKI30740	01.00.12.01-2009	CSF3600202	06.00.12.01-2012
175	IKI30740	01.00.12.01-2009	CSF3600202	08.00.12.01-2012
176	IKI30740	01.00.12.01-2009	CSF3600202	09.00.12.01-2012
177	IKI30740	01.00.12.01-2009	IKI20700	01.00.12.01-2002
178	IKI30740	01.00.12.01-2009	IKI20700	01.00.12.01-2006
179	IKI30740	01.00.12.01-2009	IKI30202	01.00.12.01-2010
180	IKI30740	01.00.12.01-2009	IKI30202	06.00.12.01-2010
181	IKI30740	01.00.12.01-2009	IKI30740	06.00.12.01-2009
182	IKI30810	01.00.12.01-2009	IKI30810	01.00.12.01-2006
183	IKI30820	01.00.12.01-2009	IKI30820	01.00.12.01-2006
184	IKI31210	01.00.12.01-2009	IKI31210	01.00.12.01-2006
185	IKI31220	01.00.12.01-2009	IKI31220	01.00.12.01-2006
186	IKI31410	01.00.12.01-2009	IKI31410	01.00.12.01-2006
187	IKI31410	01.00.12.01-2009	IKI31410	06.00.12.01-2009
188	IKI32220	01.00.12.01-2009	IKI32220	01.00.12.01-2006
189	IKI32230	01.00.12.01-2009	IKI32230	01.00.12.01-2006
190	IKI32310	01.00.12.01-2009	IKI32310	01.00.12.01-2006
191	IKI40010	01.00.12.01-2009	IKI32010	01.00.12.01-2006
192	IKI40020	01.00.12.01-2009	IKI40000	01.00.12.01-2006
193	IKI40100	01.00.12.01-2009	IKI40100	01.00.12.01-2006
194	IKI40310	01.00.12.01-2009	IKI40310	01.00.12.01-2006
195	IKI40510	01.00.12.01-2009	IKI40510	01.00.12.01-2006
196	IKI40600	01.00.12.01-2009	IKI40600	01.00.12.01-2006
197	IKI40630	01.00.12.01-2009	IKI40630	01.00.12.01-2006
198	IKI40700	01.00.12.01-2009	IKI40700	01.00.12.01-2006
199	IKI40800	01.00.12.01-2009	IKI40800	01.00.12.01-2006
200	IKI40900	01.00.12.01-2009	IKI40900	01.00.12.01-2006
201	IKI40921	01.00.12.01-2009	IKI40921	01.00.12.01-2006
202	IKI40923	01.00.12.01-2009	IKI40923	01.00.12.01-2006
203	IKI40924	01.00.12.01-2009	IKI40924	01.00.12.01-2006
204	IKI40925	01.00.12.01-2009	IKI40925	01.00.12.01-2006
205	IKI40930	01.00.12.01-2009	IKI40930	01.00.12.01-2006
206	IKI40931	01.00.12.01-2009	IKI40931	01.00.12.01-2006
207	IKI40932	01.00.12.01-2009	IKI40932	01.00.12.01-2006
208	IKI40933	01.00.12.01-2009	IKI40933	01.00.12.01-2006
209	IKI40950	01.00.12.01-2009	IKI40950	01.00.12.01-2006
210	IKI40980	01.00.12.01-2009	IKI40980	01.00.12.01-2006
211	IKI40990	01.00.12.01-2009	IKI40990	01.00.12.01-2006
212	IKI40991	01.00.12.01-2009	IKI40991	01.00.12.01-2006
213	IKI40992	01.00.12.01-2009	IKI40992	01.00.12.01-2006
214	IKI42400	01.00.12.01-2009	IKI31450	01.00.12.01-2006
215	IKI42430	01.00.12.01-2009	IKI42430	01.00.12.01-2006
216	IKI42500	01.00.12.01-2009	IKI42500	01.00.12.01-2006
217	UUI11001	01.00.12.01-2009	UIGE600001	01.00.12.01-2012
218	UUI11001	01.00.12.01-2009	UIGE600001	01.00.12.01-2016
219	UUI11001	01.00.12.01-2009	UIGE600001	06.00.12.01-2012
