npm,kd_mk,nilai,kode_pras1,kode_pras2,kode_pras3,kode_pras4,nilai_angka,y
806334893,IKO32104,B+,IKI10103,IKO21105,,,3.3,lulus
806335315,IKO32353,B+,IKO31300,,,,3.3,lulus
806457590,IKO32402,B+,IKI10400,,,,3.3,lulus
806457773,IKS12800,B+,,,,,3.3,lulus
906493016,IKI20505,B+,IKS21501,IKO21502,,,3.3,lulus
906493161,IKI20700,B+,IKI10400,,,,3.3,lulus
806335100,IKO32104,A,IKI10103,IKO21105,,,4.0,lulus
806457400,IKO32354,C,IKO22401,IKO31300,,,2.0,hati hati
906510230,IKO22401,A,IKI10100,IKI20101,,,4.0,lulus
906510496,IKO21105,B+,,,,,3.3,lulus
906562972,IKI20700,B+,IKI10400,,,,3.3,lulus
906563123,IKI30202,B+,IKI10200,,,,3.3,lulus
906563312,IKO22203,B+,IKI10400,,,,3.3,lulus
906629100,IKO32402,B+,IKI10400,,,,3.3,lulus
1006666116,IKO12500,B+,,,,,3.3,lulus
1006671204,IKI10103,B+,,,,,3.3,lulus
1006665952,UUI11002,A,,,,,4.0,lulus
906562770,IKO22401,C,IKI10100,IKI20101,,,2.0,hati hati
1006666721,IKI10400,C,IKI10200,,,,2.0,hati hati
1006671513,FSK10112,B+,,,,,3.3,lulus
1006671766,IKO12500,B+,,,,,3.3,lulus
1006671974,IKI10103,B+,,,,,3.3,lulus
1006770740,UUI11002,B+,,,,,3.3,lulus
906552441,IKI20810,B+,,,,,3.3,lulus
1006717092,MKU00020I,B+,,,,,3.3,lulus
1006806053,IKI10820I,B+,,,,,3.3,lulus
906593321,IKI80900,B+,,,,,3.3,lulus
1006800176,IKI80750,B+,,,,,3.3,lulus
1205007295,IKS12600,C,,,,,2.0,hati hati
1006759744,UUI12024,A,,,,,4.0,lulus
1006747914,IKI80750,A,,,,,4.0,lulus
906504455,IKI83903T,B+,,,,,3.3,lulus
906656120,IKI83409T,B+,,,,,3.3,lulus
906656285,IKI83410T,B+,,,,,3.3,lulus
906656455,IKI83409T,B+,,,,,3.3,lulus
906656726,IKI83903T,B+,,,,,3.3,lulus
1006748192,IKI82203T,B+,,,,,3.3,lulus
1006748375,IKI82203T,B+,,,,,3.3,lulus
1006800365,IKI82203T,B+,,,,,3.3,lulus
1006800541,IKI82203T,B+,,,,,3.3,lulus
906656606,IKI83903T,A,,,,,4.0,lulus
1006832953,IKI81403T,A,,,,,4.0,lulus
806445741,IKI83903T,C,,,,,2.0,hati hati
1006747990,IKI82203T,C,,,,,2.0,hati hati
1006833275,IKI81403T,B+,,,,,3.3,lulus
1006784475,IKI90994,B+,,,,,3.3,lulus
706166371,IKS32758,B+,IKS31504,IKS12800,,,3.3,lulus
706276186,IKI20505,B+,IKS21501,IKO21502,,,3.3,lulus
706276394,BJN20635,B+,,,,,3.3,lulus
806323151,IKS32901,B+,,,,,3.3,lulus
806339641,IKS32758,B+,IKS31504,IKS12800,,,3.3,lulus
806316846,IKS31605,A,IKS22602,,,,4.0,lulus
806403083,IKI90992,C,,,,,2.0,hati hati
806339521,IKS32901,C,,,,,2.0,hati hati
806459993,IKS42950,B+,,,,,3.3,lulus
806460105,IKS32656,B+,IKS22602,IKI10200,,,3.3,lulus
906493205,ECON10200,B+,,,,,3.3,lulus
906518183,IKS22602,B+,IKS12600,,,,3.3,lulus
906563432,IKS22403,B+,IKI10103,,,,3.3,lulus
906563621,IKI20505,B+,IKS21501,IKO21502,,,3.3,lulus
906563804,IKS31951,B+,,,,,3.3,lulus
906563930,IKS31951,B+,,,,,3.3,lulus
1006666305,IKI10400,B+,IKI10200,,,,3.3,lulus
906518031,IKI20505,A,IKS21501,IKO21502,,,4.0,lulus
906518391,IKS31951,C,,,,,2.0,hati hati
906640526,IKI20700,A,IKI10400,,,,4.0,lulus
1006666412,IKI10400,C,IKI10200,,,,2.0,hati hati
1006685696,IKS12800,B+,,,,,3.3,lulus
1006685840,MAT10113,B+,,,,,3.3,lulus
1006686055,IKS12800,B+,,,,,3.3,lulus
1006686276,UUI12030,B+,,,,,3.3,lulus
1006775716,IKI10103,B+,,,,,3.3,lulus
906618860,IKS32606,B+,IKS22602,,,,3.3,lulus
906619030,IKI10400,B+,IKI10200,,,,3.3,lulus
906648421,IKS31504,B+,IKI20505,,,,3.3,lulus
906648560,IKS31604,B+,IKS22602,,,,3.3,lulus
1006822782,IKI20505,B+,IKS21501,IKO21502,,,3.3,lulus
906618721,IKS31603,C,IKS22602,,,,2.0,hati hati
1006760771,UUI12030,A,,,,,4.0,lulus
906648680,IKS31504,A,IKI20505,,,,4.0,lulus
1006823103,IKS22602,B+,IKS12600,,,,3.3,lulus
1006826313,IKI10200,B+,,,,,3.3,lulus
1006826471,IKI10400,B+,IKI10200,,,,3.3,lulus
906618721,IKS41757,B+,IKS31504,,,,3.3,lulus
1006822946,IKS31650,C,IKS12800,,,,2.0,hati hati
1006822656,IKS42651,A,IKI20700,,,,4.0,lulus
806323095,IKO31204,B+,IKI10400,IKI20505,,,3.3,lulus
806334861,FSK10112,B+,,,,,3.3,lulus
806335196,IKO31900,B+,,,,,3.3,lulus
806335340,IKO31300,B+,IKI20102,IKI10400,IKI10100,,3.3,lulus
806334703,IKO31355,A,IKI10103,IKO21105,IKI10400,,4.0,lulus
806335025,IKS12600,C,,,,,2.0,hati hati
806457413,IKI30202,B+,IKI10200,,,,3.3,lulus
806457565,IKI30202,B+,IKI10200,,,,3.3,lulus
706271891,IKO32104,B+,IKI10103,IKO21105,,,3.3,lulus
706272313,IKS22602,B+,IKS12600,,,,3.3,lulus
706271664,PSI22619,A,,,,,4.0,lulus
706272105,IKO42360,C,IKO21502,IKO31300,,,2.0,hati hati
606101130,IKI40999,B+,,,,,3.3,lulus
606101143,IKO31258,B+,IKI20505,IKI10103,IKO21105,,3.3,lulus
606101295,IKI40902,B+,,,,,3.3,lulus
606031591,IKO31258,A,IKI20505,IKI10103,IKO21105,,4.0,lulus
606101471,IKS41759,B+,IKS31504,IKO31503,,,3.3,lulus
606101130,IKO31900,A,,,,,4.0,lulus
606101761,IKO41254,B+,IKI30202,,,,3.3,lulus
606101143,PSI21101,B-,,,,,2.7,hati hati
606101944,IKO31258,B+,IKI20505,IKI10103,IKO21105,,3.3,lulus
606101282,IKO31900,A,,,,,4.0,lulus
606101591,IKO31300,B+,IKI20102,IKI10400,IKI10100,,3.3,lulus
606101862,IKO32402,B+,IKI10400,,,,3.3,lulus
606101471,IKI30640I,B+,,,,,3.3,lulus
606101521,IKI40999,A,,,,,4.0,lulus
606101686,IKO31258,B+,IKI20505,IKI10103,IKO21105,,3.3,lulus
606101761,IKS31951,A-,,,,,3.7,lulus
606101692,IKI40902,A,,,,,4.0,lulus
606101862,IKI40902,A,,,,,4.0,lulus
606101862,IKO21105,B,,,,,3.0,hati hati
606101875,BJG20630,A,,,,,4.0,lulus
606101995,IKI40999,BS,,,,,,
606101471,IKI40903,A,,,,,4.0,lulus
606031591,IKO41352,A-,IKO31300,,,,3.7,lulus
606101446,IKI40903,A-,,,,,3.7,lulus
606101452,IKI20201,A-,IKI10200,,,,3.7,lulus
606101686,IKI40999,A-,,,,,3.7,lulus
606101231,BIO30308,B-,,,,,2.7,hati hati
606101452,IKO22401,B-,IKI10100,IKI20101,,,2.7,hati hati
606101686,IKI40902,B-,,,,,2.7,hati hati
606101761,BJN20635,B-,,,,,2.7,hati hati
606101446,IKO21105,A,,,,,4.0,lulus
606101452,IKI10400,C,IKI10200,,,,2.0,hati hati
606101231,IKI40999,C,,,,,2.0,hati hati
606101591,IKS31650,C,IKS12800,,,,2.0,hati hati
606101692,IKI40999,C,,,,,2.0,hati hati
606102032,IKS31603,B+,IKS22602,,,,3.3,lulus
606102032,IKS31951,B-,,,,,2.7,hati hati
606104315,PSI21101,D,,,,,1.0,tidak lulus
606102032,IKO31900,A,,,,,4.0,lulus
606104315,IKO31900,A-,,,,,3.7,lulus
706165835,IKI40902,B+,,,,,3.3,lulus
606104315,IKS41851,C+,IKS31504,IKI20700,IKS12800,,2.3,hati hati
706165860,IKO41357,B+,IKI10400,,,,3.3,lulus
706165910,IKO21105,B+,,,,,3.3,lulus
706165841,BJN20635,A,,,,,4.0,lulus
706165841,IKI40902,A,,,,,4.0,lulus
706165942,IKO31900,B+,,,,,3.3,lulus
706165854,IKO21105,B+,,,,,3.3,lulus
706165892,IKO31900,B+,,,,,3.3,lulus
706165854,IKO31900,B-,,,,,2.7,hati hati
706165860,IKI40902,A,,,,,4.0,lulus
706165886,IKO31900,A-,,,,,3.7,lulus
606104315,FEUI10002,A,,,,,4.0,lulus
706165892,IKI40902,A,,,,,4.0,lulus
706165892,IKO41352,A,IKO31300,,,,4.0,lulus
706165936,IKO41253,A,IKI10100,IKI10200,,,4.0,lulus
706165936,IKI40902,A,,,,,4.0,lulus
706165841,IKO41357,A,IKI10400,,,,4.0,lulus
706165892,IKO31258,A,IKI20505,IKI10103,IKO21105,,4.0,lulus
706165835,IKI40999,A,,,,,4.0,lulus
606104321,IKO31300,A-,IKI20102,IKI10400,IKI10100,,3.7,lulus
606101995,IKO31350,B-,IKI10400,IKI20102,,,2.7,hati hati
706165886,IKI40902,A,,,,,4.0,lulus
606104315,IKO41254,B-,IKI30202,,,,2.7,hati hati
706165936,IKI40903,A-,,,,,3.7,lulus
606104321,IKO22401,C,IKI10100,IKI20101,,,2.0,hati hati
706165835,BJN20635,B-,,,,,2.7,hati hati
706165854,IKI40902,B-,,,,,2.7,hati hati
706165854,IKO32402,B-,IKI10400,,,,2.7,hati hati
706165910,IKI40902,B-,,,,,2.7,hati hati
706165910,IKO41352,B-,IKO31300,,,,2.7,hati hati
706165886,IKO31258,C,IKI20505,IKI10103,IKO21105,,2.0,hati hati
706165910,IKO32402,C,IKI10400,,,,2.0,hati hati
706165936,IKO41357,C,IKI10400,,,,2.0,hati hati
606102032,IKO41254,C,IKI30202,,,,2.0,hati hati
706165860,BJG20630,C,,,,,2.0,hati hati
706165955,IKI40902,A,,,,,4.0,lulus
706165955,IKI40903,B+,,,,,3.3,lulus
706165955,IKO41254,B+,IKI30202,,,,3.3,lulus
706165961,IKO31204,B+,IKI10400,IKI20505,,,3.3,lulus
706166200,IKO31900,B+,,,,,3.3,lulus
706166245,IKS41759,D,IKS31504,IKO31503,,,1.0,tidak lulus
706166232,IKO41357,B+,IKI10400,,,,3.3,lulus
