,pras1,pras2,y
773,4.0,3.0,lulus
774,4.0,3.0,lulus
775,4.0,4.0,lulus
776,1.0,3.0,lulus
777,2.0,3.0,lulus
778,3.0,3.0,lulus
779,4.0,3.0,lulus
780,4.0,4.0,lulus
781,4.0,4.0,lulus
782,3.0,4.0,lulus
783,2.0,2.0,lulus
784,4.0,3.0,lulus
785,4.0,3.0,lulus
786,3.0,4.0,lulus
787,3.0,4.0,lulus
788,4.0,4.0,lulus
789,4.0,3.0,lulus
790,4.0,3.0,lulus
791,3.0,3.0,lulus
792,2.0,3.0,lulus
793,4.0,2.0,lulus
794,2.0,3.0,lulus
795,3.0,2.0,lulus
796,4.0,3.0,lulus
797,4.0,4.0,lulus
798,4.0,3.0,lulus
799,3.0,2.0,lulus
800,3.0,3.0,lulus
801,3.0,3.0,lulus
802,4.0,3.0,lulus
803,3.0,4.0,lulus
804,3.0,3.0,lulus
805,2.0,4.0,lulus
806,4.0,4.0,lulus
807,4.0,4.0,lulus
808,3.0,3.0,lulus
809,4.0,3.0,lulus
810,2.0,4.0,lulus
811,3.0,2.0,lulus
812,4.0,4.0,lulus
813,4.0,4.0,lulus
814,4.0,2.0,lulus
815,2.0,3.0,lulus
816,3.0,2.0,lulus
817,4.0,3.0,lulus
818,4.0,1.0,lulus
819,3.0,3.0,lulus
820,4.0,4.0,lulus
821,4.0,4.0,lulus
822,3.0,2.0,lulus
823,4.0,3.0,lulus
824,4.0,3.0,lulus
825,2.0,3.0,lulus
826,4.0,3.0,lulus
827,2.0,3.0,lulus
828,3.0,2.0,lulus
829,2.0,3.0,lulus
830,4.0,3.0,lulus
831,3.0,3.0,lulus
832,3.0,3.0,lulus
833,3.0,4.0,lulus
834,3.0,2.0,lulus
835,4.0,3.0,lulus
836,2.0,2.0,lulus
837,3.0,4.0,lulus
838,3.0,4.0,lulus
839,3.0,2.0,lulus
840,3.0,2.0,lulus
841,4.0,3.0,lulus
842,4.0,3.0,tidak lulus
843,4.0,3.0,tidak lulus
844,2.0,3.0,tidak lulus
845,2.0,3.0,tidak lulus
846,3.0,4.0,tidak lulus
847,3.0,4.0,tidak lulus
848,4.0,3.0,tidak lulus
849,2.0,3.0,tidak lulus
850,4.0,3.0,tidak lulus
851,2.0,3.0,tidak lulus
852,2.0,3.0,tidak lulus
853,3.0,4.0,tidak lulus
854,2.0,3.0,tidak lulus
855,2.0,3.0,tidak lulus
856,4.0,3.0,tidak lulus
857,4.0,3.0,tidak lulus
858,3.0,4.0,tidak lulus
859,3.0,4.0,tidak lulus
860,4.0,3.0,tidak lulus
861,4.0,3.0,tidak lulus
862,4.0,3.0,tidak lulus
863,4.0,3.0,tidak lulus
864,2.0,3.0,tidak lulus
865,3.0,4.0,tidak lulus
866,4.0,3.0,tidak lulus
867,3.0,4.0,tidak lulus
868,2.0,3.0,tidak lulus
869,4.0,3.0,tidak lulus
870,4.0,3.0,tidak lulus
871,2.0,3.0,tidak lulus
872,2.0,3.0,tidak lulus
873,4.0,3.0,tidak lulus
874,4.0,3.0,tidak lulus
875,4.0,3.0,tidak lulus
876,2.0,4.0,tidak lulus
